time_iso8601,forks_cumulative
2024-02-20 00:00:00+00:00,1
2024-02-21 00:00:00+00:00,2
2024-02-22 00:00:00+00:00,4
2024-02-23 00:00:00+00:00,5
2024-02-27 00:00:00+00:00,6
2024-03-16 00:00:00+00:00,7
2024-03-28 00:00:00+00:00,8
2024-04-10 00:00:00+00:00,9
2024-04-12 00:00:00+00:00,10
2024-05-05 00:00:00+00:00,11
2024-05-09 00:00:00+00:00,12
2024-05-15 00:00:00+00:00,13
2024-05-20 00:00:00+00:00,14
2024-07-05 00:00:00+00:00,15
2024-07-14 00:00:00+00:00,16
2024-07-18 00:00:00+00:00,17
2024-07-26 00:00:00+00:00,18
2024-08-01 00:00:00+00:00,19
2024-08-05 00:00:00+00:00,20
2024-08-13 00:00:00+00:00,21
2024-08-14 00:00:00+00:00,22
2024-08-15 00:00:00+00:00,23
2024-08-20 00:00:00+00:00,24
2024-08-22 00:00:00+00:00,25
2024-08-25 00:00:00+00:00,26
2024-08-27 00:00:00+00:00,28
2024-08-28 00:00:00+00:00,29
2024-08-29 00:00:00+00:00,30
2024-09-02 00:00:00+00:00,31
2024-09-11 00:00:00+00:00,33
2024-09-12 00:00:00+00:00,34
2024-09-14 00:00:00+00:00,35
2024-09-17 00:00:00+00:00,36
2024-10-10 00:00:00+00:00,37
2024-10-11 00:00:00+00:00,38
2024-10-12 00:00:00+00:00,39
2024-10-21 00:00:00+00:00,40
2024-10-28 00:00:00+00:00,41
2024-11-01 00:00:00+00:00,42
2024-11-05 00:00:00+00:00,43
2024-11-11 00:00:00+00:00,44
2024-11-13 00:00:00+00:00,45
2024-11-28 00:00:00+00:00,46
2024-11-29 00:00:00+00:00,47
2024-12-01 00:00:00+00:00,48
2024-12-02 00:00:00+00:00,51
2024-12-04 00:00:00+00:00,52
2024-12-06 00:00:00+00:00,54
2024-12-16 00:00:00+00:00,55
2024-12-17 00:00:00+00:00,56
2024-12-20 00:00:00+00:00,57
2024-12-25 00:00:00+00:00,58
2024-12-27 00:00:00+00:00,60
2025-01-06 00:00:00+00:00,61
2025-01-23 00:00:00+00:00,62
2025-01-24 00:00:00+00:00,63
2025-02-25 00:00:00+00:00,64
2025-02-27 00:00:00+00:00,65
2025-02-28 00:00:00+00:00,66
2025-03-24 00:00:00+00:00,67
2025-03-28 00:00:00+00:00,69
2025-04-11 00:00:00+00:00,72
2025-05-09 00:00:00+00:00,73
2025-05-19 00:00:00+00:00,74
2025-05-21 00:00:00+00:00,75
2025-06-04 00:00:00+00:00,76
2025-06-11 00:00:00+00:00,78
2025-06-12 00:00:00+00:00,79
2025-06-16 00:00:00+00:00,80
2025-06-17 00:00:00+00:00,81
2025-06-19 00:00:00+00:00,82
2025-06-24 00:00:00+00:00,83
2025-06-26 00:00:00+00:00,85
2025-06-28 00:00:00+00:00,86
2025-07-02 00:00:00+00:00,88
2025-07-04 00:00:00+00:00,89
2025-07-15 00:00:00+00:00,90
2025-07-16 00:00:00+00:00,91
2025-07-22 00:00:00+00:00,92
2025-07-28 00:00:00+00:00,93
2025-07-31 00:00:00+00:00,94
2025-08-01 00:00:00+00:00,95
2025-08-06 00:00:00+00:00,96
2025-08-13 00:00:00+00:00,97
2025-08-27 00:00:00+00:00,99
2025-08-29 00:00:00+00:00,100
2025-09-05 00:00:00+00:00,101
2025-09-08 00:00:00+00:00,102
2025-09-10 00:00:00+00:00,103
2025-09-12 00:00:00+00:00,104
2025-09-17 00:00:00+00:00,105
2025-09-30 00:00:00+00:00,106
2025-10-01 00:00:00+00:00,107
2025-10-31 00:00:00+00:00,108
2025-11-04 00:00:00+00:00,109
2025-11-07 00:00:00+00:00,111
2025-11-10 00:00:00+00:00,113
2025-11-11 00:00:00+00:00,114
2025-11-14 00:00:00+00:00,115
2025-11-20 00:00:00+00:00,116
2025-11-22 00:00:00+00:00,117
2025-11-26 00:00:00+00:00,118
2025-11-27 00:00:00+00:00,119
2025-11-28 00:00:00+00:00,120
2025-12-07 00:00:00+00:00,121
2025-12-09 00:00:00+00:00,122
2025-12-12 00:00:00+00:00,123
2025-12-16 00:00:00+00:00,124
2026-01-08 00:00:00+00:00,125
2026-01-09 00:00:00+00:00,126
2026-01-12 00:00:00+00:00,128
2026-01-22 00:00:00+00:00,129
2026-01-30 00:00:00+00:00,131
2026-02-02 00:00:00+00:00,132
2026-02-04 00:00:00+00:00,133
2026-02-05 00:00:00+00:00,134
2026-02-12 00:00:00+00:00,135
2026-02-19 00:00:00+00:00,136
2026-02-24 00:00:00+00:00,138
2026-03-01 00:00:00+00:00,139
2026-03-13 00:00:00+00:00,140
2026-03-17 00:00:00+00:00,141
2026-03-18 00:00:00+00:00,142
2026-03-20 00:00:00+00:00,143
2026-03-24 00:00:00+00:00,144
2026-03-26 00:00:00+00:00,145
2026-03-27 00:00:00+00:00,146
2026-04-16 00:00:00+00:00,147
2026-04-17 00:00:00+00:00,148
2026-04-19 00:00:00+00:00,149
2026-04-20 00:00:00+00:00,150
2026-04-22 00:00:00+00:00,151
2026-04-24 00:00:00+00:00,152
2026-04-27 00:00:00+00:00,153
2026-04-28 00:00:00+00:00,154
2026-04-29 00:00:00+00:00,155
2026-05-13 00:00:00+00:00,156
2026-05-15 00:00:00+00:00,157
2026-05-18 00:00:00+00:00,158
2026-05-26 00:00:00+00:00,159
