time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-05 00:00:00+00:00,54,39,86,32
2026-01-06 00:00:00+00:00,52,39,176,38
2026-01-07 00:00:00+00:00,76,55,345,50
2026-01-08 00:00:00+00:00,56,50,281,50
2026-01-09 00:00:00+00:00,76,66,178,34
2026-01-10 00:00:00+00:00,26,25,8,6
2026-01-11 00:00:00+00:00,22,21,31,6
2026-01-12 00:00:00+00:00,74,49,148,26
2026-01-13 00:00:00+00:00,46,38,65,37
2026-01-14 00:00:00+00:00,86,73,133,43
2026-01-15 00:00:00+00:00,82,66,232,50
2026-01-16 00:00:00+00:00,80,65,116,29
2026-01-17 00:00:00+00:00,25,23,39,10
2026-01-18 00:00:00+00:00,17,16,10,9
