time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,1828,402,1728,335
2026-07-29 00:00:00+00:00,1541,369,2241,354
2026-07-30 00:00:00+00:00,1120,309,1497,357
2026-07-31 00:00:00+00:00,1640,359,2209,342
2026-08-01 00:00:00+00:00,1817,330,1278,196
2026-08-02 00:00:00+00:00,4441,323,1208,184
2026-08-03 00:00:00+00:00,2795,551,2956,389
2026-08-04 00:00:00+00:00,1797,418,2908,466
2026-08-05 00:00:00+00:00,1965,398,1833,456
2026-08-06 00:00:00+00:00,2352,403,2586,413
2026-08-07 00:00:00+00:00,1460,233,2493,396
2026-08-08 00:00:00+00:00,1512,309,1543,277
2026-08-09 00:00:00+00:00,1142,302,1372,235
2026-08-10 00:00:00+00:00,3652,387,3317,413
