time_iso8601,stargazers_cumulative_snapshot
2025-09-29 06:15:00+00:00,2215
2025-09-30 23:22:24+00:00,2217
2025-10-03 23:21:21+00:00,2218
2025-10-04 23:22:05+00:00,2217
2025-10-06 23:23:08+00:00,2219
2025-10-08 23:23:00+00:00,2220
2025-10-09 23:22:32+00:00,2225
2025-10-10 23:22:21+00:00,2237
2025-10-11 23:21:53+00:00,2242
2025-10-12 23:21:49+00:00,2256
2025-10-13 23:22:38+00:00,2265
2025-10-14 23:23:20+00:00,2337
2025-10-15 23:22:47+00:00,2359
2025-10-16 23:20:46+00:00,2376
2025-10-17 23:22:20+00:00,2389
2025-10-18 23:22:39+00:00,2392
2025-10-19 23:22:55+00:00,2394
2025-10-20 23:23:15+00:00,2405
2025-10-21 23:24:52+00:00,2421
2025-10-22 23:22:16+00:00,2437
2025-10-23 23:22:52+00:00,2452
2025-10-24 23:23:18+00:00,2458
2025-10-25 23:22:13+00:00,2461
2025-10-26 23:23:40+00:00,2463
2025-10-27 23:23:25+00:00,2469
2025-10-28 23:24:26+00:00,2505
2025-10-29 23:24:47+00:00,2522
2025-10-30 23:23:56+00:00,2533
2025-10-31 23:23:29+00:00,2545
2025-11-01 23:23:10+00:00,2546
2025-11-02 23:22:59+00:00,2551
2025-11-03 23:25:04+00:00,2559
2025-11-04 23:24:59+00:00,2565
2025-11-05 23:25:18+00:00,2573
2025-11-06 23:24:30+00:00,2580
2025-11-07 23:23:35+00:00,2587
2025-11-08 23:22:49+00:00,2590
2025-11-09 23:23:20+00:00,2593
2025-11-10 23:25:33+00:00,2599
2025-11-11 23:24:41+00:00,2605
2025-11-12 23:25:48+00:00,2611
2025-11-13 23:25:16+00:00,2619
2025-11-14 23:24:40+00:00,2627
2025-11-15 23:23:40+00:00,2632
2025-11-16 23:24:09+00:00,2635
